,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
14,d7e572fe,Apartment Schierstins,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",1600.0,1082,TE,Buitenveldert-West,63,3,Furnished,Not Available,Homecrew,https://www.pararius.com/apartment-for-rent/amsterdam/d7e572fe/schierstins,2022-10-25 22:18:52
15,1d69a7ba,Apartment Weesperzijde,"
2 weeks
","
From 14-11-2022
",NA,"
For rent
",2500.0,1091,EJ,Weesperzijde,78,3,Upholstered,B,Out Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/1d69a7ba/weesperzijde,2022-10-25 22:18:52
16,1c861b73,House Linnaeusparkweg,"
2 weeks
","
Immediately
",NA,"
For rent
",2500.0,1098,EP,Middenmeer,111,3,NA,D,Rebid,https://www.pararius.com/house-for-rent/amsterdam/1c861b73/linnaeusparkweg,2022-10-25 22:18:52
17,8b72a26f,Apartment Herengracht 248 A,"
2 weeks
","
Immediately
",Rented under option,"
Rented under option
",3250.0,1016,BV,Grachtengordel-West,151,3,Furnished,D,Broersma Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/8b72a26f/herengracht,2022-10-25 22:18:52
18,a1bb2812,Apartment Saxen-Weimarlaan 20,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",5000.0,1075,CB,Willemspark,170,6,Furnished,E,The Rental Agency Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/a1bb2812/saxen-weimarlaan,2022-10-25 22:18:52
19,4693ada2,Apartment Tuinstraat 179 3,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",3500.0,1015,PC,Jordaan,105,3,Furnished,E,Urban Homies,https://www.pararius.com/apartment-for-rent/amsterdam/4693ada2/tuinstraat,2022-10-25 22:18:52
20,4fcda385,Apartment Papaverweg,"
2 weeks
","
From 01-11-2022
",NA,"
For rent
",1395.0,1032,KH,Volewijck,40,2,Upholstered,Not Available,A&N Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/4fcda385/papaverweg,2022-10-25 22:18:52
21,c2b7001e,Apartment Nieuw Herlaer,"
2 weeks
","
In consultation
",NA,"
For rent
",2350.0,1083,BC,Buitenveldert-Oost,128,3,NA,D,Rijsterborgh Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/c2b7001e/nieuw-herlaer,2022-10-25 22:18:52
22,ef8801fd,Apartment Pieter Aertszstraat,"
2 weeks
","
Immediately
",NA,"
For rent
",2500.0,1073,SK,Nieuwe Pijp,60,3,Upholstered,B,Amstel Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/ef8801fd/pieter-aertszstraat,2022-10-25 22:18:52
23,30a9bbf8,Apartment Prinseneiland 50 2L,"
2 weeks
","
From 01-12-2022
",NA,"
For rent
",2700.0,1013,LR,Haarlemmerbuurt,110,3,Furnished,C,Renthouse Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/30a9bbf8/prinseneiland,2022-10-25 22:18:52
