,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
20,3faa2465,Apartment Reyer Anslostraat 17 H,"
08-10-2022
","
From 09-11-2022
",Under offer,"
Under offer
",3000.0,1054,KT,Overtoomse Sluis,117,5,NA,Raadsheer Baart,https://www.pararius.com/apartment-for-rent/amsterdam/3faa2465/reyer-anslostraat,2022-10-19 20:33:16
21,9d4ac1a7,Apartment Admiraal De Ruijterweg 178 E,"
07-10-2022
","
Immediately
",Under offer,"
Under offer
",2000.0,1056,GZ,Landlust,75,3,Furnished,The Brick Club,https://www.pararius.com/apartment-for-rent/amsterdam/9d4ac1a7/admiraal-de-ruijterweg,2022-10-19 20:33:16
22,fff71c54,Apartment Nieuwe Keizersgracht 60 III,"
07-10-2022
","
From 01-11-2022
",Under offer,"
Under offer
",2500.0,1018,DT,Weesperbuurt/Plantage,100,3,Furnished,Dutch Housing Centre BV,https://www.pararius.com/apartment-for-rent/amsterdam/fff71c54/nieuwe-keizersgracht,2022-10-19 20:33:16
23,60d38b77,Apartment Dalsteindreef 310,"
07-10-2022
","
Immediately
",Under offer,"
Under offer
",1450.0,1102,WZ,Bijlmer Centrum ,59,2,Furnished,Linger OG,https://www.pararius.com/apartment-for-rent/amsterdam/60d38b77/dalsteindreef,2022-10-19 20:33:16
24,3b50b32c,Apartment Marskramerstraat 19,"
07-10-2022
","
In consultation
",Under offer,"
Under offer
",1500.0,1033,WH,Oostzanerwerf,60,2,NA,Linger OG,https://www.pararius.com/apartment-for-rent/amsterdam/3b50b32c/marskramerstraat,2022-10-19 20:33:16
25,5bcabb67,Apartment Nieuwezijds Voorburgwal,"
06-10-2022
","
Immediately
",Under offer,"
Under offer
",1650.0,1012,RX,Burgwallen-Nieuwe Zijde,51,2,Upholstered or furnished,Visch & Van Zeggelaar Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/5bcabb67/nieuwezijds-voorburgwal,2022-10-19 20:33:16
26,ccc8551b,Apartment Solitudolaan 226,"
06-10-2022
","
From 01-11-2022
",Under option,"
Under option
",1850.0,1096,DS,Omval/Overamstel,65,2,Furnished,Prinsen Residence International,https://www.pararius.com/apartment-for-rent/amsterdam/ccc8551b/solitudolaan,2022-10-19 20:33:16
27,688f2040,Apartment Omval,"
2 weeks
","
In consultation
",Under option,"
Under option
",2250.0,1096,AA,Omval/Overamstel,97,3,Upholstered,Ankersmit Makelaars Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/688f2040/omval,2022-10-19 20:33:16
28,7f9cfce0,Apartment Binnenkant,"
2 weeks
","
In consultation
",Under option,"
Under option
",1750.0,1011,BR,Nieuwmarkt/Lastage,63,2,NA,Keij & Stefels Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/7f9cfce0/binnenkant,2022-10-19 20:33:16
29,0cca7687,Apartment Admiraal De Ruijterweg,"
2 weeks
","
From 15-11-2022
",Under offer,"
Under offer
",1600.0,1055,ND,Landlust,61,2,Upholstered,RKZ Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/0cca7687/admiraal-de-ruijterweg,2022-10-19 20:33:16
0,10d12546,Apartment Derde Hugo de Grootstraat,"
2 weeks
","
In consultation
",Under offer,"
Under offer
",1850.0,1052,LK,Frederik Hendrikbuurt,51,2,Upholstered,Engel en Volkers Amsterdam Centrum,https://www.pararius.com/apartment-for-rent/amsterdam/10d12546/derde-hugo-de-grootstraat,2022-10-19 20:33:16
1,28ff28db,Apartment IJburglaan 883,"
2 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",2500.0,1087,EN,IJburg West,123,4,Upholstered,JLG Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/28ff28db/ijburglaan,2022-10-19 20:33:16
2,efd1f4f8,Apartment Hemonystraat 1 II,"
2 weeks
","
Immediately
",Under option,"
Under option
",2750.0,1074,BK,Oude Pijp,110,4,Upholstered,Grand Relocation,https://www.pararius.com/apartment-for-rent/amsterdam/efd1f4f8/hemonystraat,2022-10-19 20:33:16
3,a00b20e0,Apartment Noorderstraat 58 B,"
2 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",2500.0,1017,TV,De Weteringschans,79,3,Furnished,JLG Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/a00b20e0/noorderstraat,2022-10-19 20:33:16
4,0787715c,Apartment Herengracht 369,"
2 weeks
","
In consultation
",Under offer,"
Under offer
",3750.0,1016,BB,Grachtengordel-West,133,6,NA,Bloomstone Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/0787715c/herengracht,2022-10-19 20:33:16
5,e4cbe2bf,Apartment Herengracht,"
2 weeks
","
In consultation
",Under offer,"
Under offer
",3950.0,1016,BP,Grachtengordel-West,169,4,NA,Van Maarschalkerwaart Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/e4cbe2bf/herengracht,2022-10-19 20:33:16
6,3d2a3a8c,Apartment Kanaalstraat,"
2 weeks
","
In consultation
",Under offer,"
Under offer
",2650.0,1054,XB,Overtoomse Sluis,110,3,NA,Van Maarschalkerwaart Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/3d2a3a8c/kanaalstraat,2022-10-19 20:33:16
7,9e64fa47,Apartment Tweede Atjehstraat 49 1,"
2 weeks
","
Immediately
",Under offer,"
Under offer
",1850.0,1094,LD,Indische Buurt West,60,3,Furnished,Parker & Williams Real Estate Services,https://www.pararius.com/apartment-for-rent/amsterdam/9e64fa47/tweede-atjehstraat,2022-10-19 20:33:16
8,a68084f3,Apartment Entrepothof 100,"
2 weeks
","
From 01-11-2022
",Under offer,"
Under offer
",1850.0,1019,DL,Oostelijk Havengebied,80,3,Upholstered,Parker & Williams Real Estate Services,https://www.pararius.com/apartment-for-rent/amsterdam/a68084f3/entrepothof,2022-10-19 20:33:16
9,85629f18,Apartment Vrolikstraat 290 2,"
2 weeks
","
In consultation
",Under option,"
Under option
",2100.0,1092,VA,Oosterparkbuurt,54,3,Furnished,Smit & Heinen Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/85629f18/vrolikstraat,2022-10-19 20:33:16
10,0fb8b7c4,Apartment Vierwindendwarsstraat 17,"
2 weeks
","
Immediately
",Under option,"
Under option
",2250.0,1013,LB,Haarlemmerbuurt,63,3,Upholstered,Rent a Stone,https://www.pararius.com/apartment-for-rent/amsterdam/0fb8b7c4/vierwindendwarsstraat,2022-10-19 20:33:16
11,cc1b433f,Apartment Koninginneweg,"
2 weeks
","
Immediately
",Under option,"
Under option
",3100.0,1075,EE,Willemspark,90,3,NA,Brummel & Beuk Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/cc1b433f/koninginneweg,2022-10-19 20:33:16
12,4a27059e,Apartment Rustenburgerstraat 133 HS,"
3 weeks
","
Immediately
",Under option,"
Under option
",2450.0,1073,EX,Nieuwe Pijp,57,3,Upholstered or furnished,Rent a Stone,https://www.pararius.com/apartment-for-rent/amsterdam/4a27059e/rustenburgerstraat,2022-10-19 20:33:16
13,1740e3f9,Apartment Brouwersgracht 75 G,"
3 weeks
","
Immediately
",Under offer,"
Under offer
",2850.0,1015,GC,Grachtengordel-West,138,3,NA,Peter Bruin Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/1740e3f9/brouwersgracht,2022-10-19 20:33:16
14,e42be1c9,Apartment Admiralengracht,"
3 weeks
","
In consultation
",Under offer,"
Under offer
",2950.0,1057,EZ,Chassébuurt,96,4,Furnished,ME Makelaars BV,https://www.pararius.com/apartment-for-rent/amsterdam/e42be1c9/admiralengracht,2022-10-19 20:33:16
15,94e797b9,Apartment Pieter Calandlaan,"
3 weeks
","
Immediately
",Under option,"
Under option
",2000.0,1068,NK,Osdorp-Oost,82,4,Furnished,Brixt,https://www.pararius.com/apartment-for-rent/amsterdam/94e797b9/pieter-calandlaan,2022-10-19 20:33:16
