,id,header,status,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
30,b3315819,Apartment Van Hallstraat,NA,2150.0,1051,GX,Staatsliedenbuurt,50,2,Furnished,123Wonen Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/b3315819/van-hallstraat,2022-09-25 21:19:39
1,f415a997,Apartment Marskramerstraat,NA,3200.0,1033,WG,Oostzanerwerf,196,6,NA,Rebid,http://www.pararius.com/apartment-for-rent/amsterdam/f415a997/marskramerstraat,2022-09-25 21:19:39
2,9c441f8a,Apartment Albert Cuypstraat,NA,2600.0,1072,CN,Oude Pijp,100,3,Upholstered,Interhouse verhuurmakelaars Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/9c441f8a/albert-cuypstraat,2022-09-25 21:19:39
3,0d75652f,Apartment Keizersgracht,NA,2750.0,1017,ES,Grachtengordel-Zuid,78,2,Furnished,Rotsvast Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/0d75652f/keizersgracht,2022-09-25 21:19:39
4,483a225f,Apartment Da Costakade,NA,3650.0,1053,XE,Van Lennepbuurt,130,4,Furnished,Amsterdam Beautiful Property Rental,http://www.pararius.com/apartment-for-rent/amsterdam/483a225f/da-costakade,2022-09-25 21:19:39
5,9ba9f3cc,Apartment Keizersgracht,NA,2750.0,1017,ES,Grachtengordel-Zuid,80,2,Furnished,Rotsvast Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/9ba9f3cc/keizersgracht,2022-09-25 21:19:39
6,ae73230c,Apartment Pieter de Hoochstraat,NA,3700.0,1071,ED,Museumkwartier,130,3,Furnished,4-Freedom | Vastgoedbeheer,http://www.pararius.com/apartment-for-rent/amsterdam/ae73230c/pieter-de-hoochstraat,2022-09-25 21:19:39
7,abadb4ee,Apartment Laurierstraat 77 C,NA,1295.0,1016,PJ,Jordaan,30,2,Upholstered,Heimstaden,http://www.pararius.com/apartment-for-rent/amsterdam/abadb4ee/laurierstraat,2022-09-25 21:19:39
8,912ec28e,Apartment Vossiusstraat 10 2,NA,2100.0,1071,AB,Museumkwartier,75,1,Furnished,Oei Housing Amsterdam - Expat Apartments,http://www.pararius.com/apartment-for-rent/amsterdam/912ec28e/vossiusstraat,2022-09-25 21:19:39
9,aed35f46,House Eef Kamerbeekpad 1,NA,3500.0,1095,MZ,Zeeburgereiland/Nieuwe Diep,160,5,Upholstered or furnished,HousingNet,http://www.pararius.com/house-for-rent/amsterdam/aed35f46/eef-kamerbeekpad,2022-09-25 21:19:39
10,2ff95469,Apartment Hogewerf,NA,2250.0,1082,NG,Buitenveldert-Oost,85,2,Furnished,Houses4let,http://www.pararius.com/apartment-for-rent/amsterdam/2ff95469/hogewerf,2022-09-25 21:19:39
11,ea2261f6,Apartment Wijdesteeg 64 *,NA,2400.0,1012,RN,Burgwallen-Nieuwe Zijde,50,2,NA,Mid-stay Apartments,http://www.pararius.com/apartment-for-rent/amsterdam/ea2261f6/wijdesteeg,2022-09-25 21:19:39
12,a253a8cc,House Scheepsbouwweg,NA,1950.0,1033,DC,Tuindorp Oostzaan,75,3,NA,Heeren Makelaars B.V.,http://www.pararius.com/house-for-rent/amsterdam/a253a8cc/scheepsbouwweg,2022-09-25 21:19:39
13,9ae2edc5,Apartment Sassenheimstraat 65 3,NA,3750.0,1059,BD,Hoofddorppleinbuurt,115,5,NA,AmsterHomes,http://www.pararius.com/apartment-for-rent/amsterdam/9ae2edc5/sassenheimstraat,2022-09-25 21:19:39
14,c05570bf,Apartment Vätternkade,NA,2450.0,1060,PK,Middelveldsche Akerpolder,120,4,Upholstered or furnished,Alcoco.nl,http://www.pararius.com/apartment-for-rent/amsterdam/c05570bf/vaetternkade,2022-09-25 21:19:39
15,d9699d17,Apartment Overamstelstraat,NA,2095.0,1091,TM,Weesperzijde,80,3,Furnished,A Plus Apartments,http://www.pararius.com/apartment-for-rent/amsterdam/d9699d17/overamstelstraat,2022-09-25 21:19:39
16,338c5f6c,Apartment President Kennedylaan,NA,2450.0,1079,NL,Rijnbuurt,110,5,Upholstered,First Class Housing,http://www.pararius.com/apartment-for-rent/amsterdam/338c5f6c/president-kennedylaan,2022-09-25 21:19:39
17,ded8d712,Apartment Tweede Kostverlorenkade 137 3,Rented under option,1995.0,1053,SE,Van Lennepbuurt,62,3,Upholstered,ViaDaan,http://www.pararius.com/apartment-for-rent/amsterdam/ded8d712/tweede-kostverlorenkade,2022-09-25 21:19:39
18,2d281a78,Apartment Lijnbaansgracht 265 1,NA,1675.0,1017,RL,De Weteringschans,45,3,Upholstered,ViaDaan,http://www.pararius.com/apartment-for-rent/amsterdam/2d281a78/lijnbaansgracht,2022-09-25 21:19:39
19,700e8262,Apartment Van Nijenrodeweg 366,NA,2100.0,1082,HE,Buitenveldert-West,87,3,Upholstered or furnished,Mooi Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/700e8262/van-nijenrodeweg,2022-09-25 21:19:39
20,3a2238ed,House Akerpolderstraat,NA,3500.0,1066,ET,Sloter-/Riekerpolder,169,6,Upholstered,Brixt,http://www.pararius.com/house-for-rent/amsterdam/3a2238ed/akerpolderstraat,2022-09-25 21:19:39
21,a69e29d9,Apartment Nida Senffstraat,NA,1595.0,1095,MX,Zeeburgereiland/Nieuwe Diep,63,2,Furnished,RandstadWonen Haarlem,http://www.pararius.com/apartment-for-rent/amsterdam/a69e29d9/nida-senffstraat,2022-09-25 21:19:39
22,c6d26c05,Apartment Prinsengracht 533 I,NA,1900.0,1016,HS,Grachtengordel-West,40,2,Upholstered or furnished,Beekman makelaardij o.g. b.v.,http://www.pararius.com/apartment-for-rent/amsterdam/c6d26c05/prinsengracht,2022-09-25 21:19:39
23,0c1098b4,Apartment Da Costakade 28 IV,NA,2250.0,1052,SJ,Da Costabuurt,84,3,Upholstered,&Bijleveld Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/0c1098b4/da-costakade,2022-09-25 21:19:39
24,8d6a100e,House Pijlkruidstraat 1,NA,2750.0,1087,CE,IJburg West,135,5,Upholstered,Yourhome Makelaars,http://www.pararius.com/house-for-rent/amsterdam/8d6a100e/pijlkruidstraat,2022-09-25 21:19:39
25,33fee246,Apartment Brouwersgracht,NA,2800.0,1015,GJ,Jordaan,120,3,NA,Makelaarskantoor Babs Persoons B.V.,http://www.pararius.com/apartment-for-rent/amsterdam/33fee246/brouwersgracht,2022-09-25 21:19:39
26,0166295c,Apartment Rie Mastenbroekstraat 47,Rented under option,1750.0,1095,MJ,Zeeburgereiland/Nieuwe Diep,70,3,Upholstered or furnished,IB Makelaars,http://www.pararius.com/apartment-for-rent/amsterdam/0166295c/rie-mastenbroekstraat,2022-09-25 21:19:39
27,34d645f9,Apartment Derde Schinkelstraat 4 A,NA,2650.0,1075,TL,Schinkelbuurt,70,4,Upholstered,Listings,http://www.pararius.com/apartment-for-rent/amsterdam/34d645f9/derde-schinkelstraat,2022-09-25 21:19:39
28,d033b156,Apartment Tweede Jan van der Heijdenstraat 3 H,NA,6000.0,1073,VE,Oude Pijp,149,5,Furnished,Lankhorst Makelaars,http://www.pararius.com/apartment-for-rent/amsterdam/d033b156/tweede-jan-van-der-heijdenstraat,2022-09-25 21:19:39
29,be244456,Apartment Uiterwaardenstraat,NA,2100.0,1079,DE,Scheldebuurt,72,3,Upholstered,City Homes,http://www.pararius.com/apartment-for-rent/amsterdam/be244456/uiterwaardenstraat,2022-09-25 21:19:39
30,7060b470,Apartment James Rosskade,NA,2500.0,1056,AH,De Kolenkit,95,4,Furnished,Interhouse verhuurmakelaars Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/7060b470/james-rosskade,2022-09-25 21:19:39
1,fbeb1f29,Apartment Keizersgracht,NA,3450.0,1017,DL,Grachtengordel-Zuid,120,3,Furnished,Interhouse verhuurmakelaars Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/fbeb1f29/keizersgracht,2022-09-25 21:19:39
2,111feb66,Apartment Galileïplantsoen,NA,3500.0,1098,NC,Middenmeer,140,4,Upholstered,Hammer Realty,http://www.pararius.com/apartment-for-rent/amsterdam/111feb66/galileiplantsoen,2022-09-25 21:19:39
3,7e0a6452,Apartment H. Diesveldsingel,NA,1750.0,1060,RL,Middelveldsche Akerpolder,100,3,Furnished,Expathousing.com (Amsterdam),http://www.pararius.com/apartment-for-rent/amsterdam/7e0a6452/h-diesveldsingel,2022-09-25 21:19:39
4,7dab6da0,Apartment Borneostraat,NA,2200.0,1094,CJ,Indische Buurt West,107,3,Furnished,The Rental Agency Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/7dab6da0/borneostraat,2022-09-25 21:19:39
5,2a651747,Apartment Diezestraat 32 II,NA,3250.0,1078,JS,Scheldebuurt,150,7,NA,Ter Haar Makelaars B.V.,http://www.pararius.com/apartment-for-rent/amsterdam/2a651747/diezestraat,2022-09-25 21:19:39
